ID T IDR EventType X Y
632 69627 1 SEND2 5 0
633 69760 1 GET1 5 7
634 69828 1 SEND1 2 0
635 69831 2 GET1 3 7
636 69948 1 GET1 5 7
637 70034 1 SEND1 1 1
638 70303 2 SEND1 0 0
639 70543 2 GET2 3 7
640 70620 2 SEND2 4 1
641 70639 1 GET1 3 7
642 70707 2 GET1 5 7
643 70923 2 SEND1 1 1
644 70975 1 SEND1 2 0
645 71049 1 GET1 5 7
646 71113 1 SEND1 1 1
647 71123 2 GET1 3 7
648 71159 2 SEND1 2 0
649 71299 1 GET2 3 7
650 71482 1 SEND2 4 1
651 71547 1 GET1 3 7
652 71695 1 SEND1 1 1
653 71821 1 GET1 3 7
654 71875 1 SEND1 2 0
655 72113 1 GET1 5 7
656 72141 1 SEND1 1 1
657 72174 2 GET1 5 7
658 72317 1 GET2 3 7
659 72420 2 SEND1 1 1
660 72494 1 SEND2 3 0
661 72558 2 GET1 5 7
662 72635 1 GET2 3 7
663 72664 1 SEND2 4 1
664 72763 1 GET1 5 7
665 72904 2 SEND1 1 1
666 73050 2 GET3 3 7
667 73057 1 SEND1 1 1
668 73418 2 SEND3 7 1
669 73467 1 GET1 5 7
670 73502 2 GET1 5 7
671 73646 2 SEND1 1 1
672 74043 1 SEND1 1 1
673 74078 2 GET1 5 7
674 74167 1 GET1 3 7
675 74184 2 SEND1 1 1
676 74363 1 SEND1 1 1
677 74413 1 GET1 4 6
678 74446 2 GET1 4 6
679 74455 1 SEND1 1 1
680 74643 1 GET1 3 7
681 74676 2 SEND1 2 0
682 74728 2 GET2 3 7
683 74859 2 SEND2 5 0
684 74954 2 GET1 3 7
685 75044 2 SEND1 1 1
686 75079 1 SEND1 1 1
687 75126 2 GET1 3 7
688 75266 2 SEND1 1 1
689 75280 2 GET1 4 6
690 75336 2 SEND1 1 1
691 75473 1 GET1 3 7
692 75588 2 GET1 3 7
693 75664 2 SEND1 1 1
694 75910 2 GET1 3 7
695 76089 1 SEND1 1 1
696 76324 2 SEND1 2 0
697 76418 2 GET1 3 7
698 76492 2 SEND1 0 0
699 76704 2 GET1 4 6
700 76816 2 SEND1 2 0
701 76878 2 GET1 3 7
702 76881 1 GET1 5 7
703 77039 1 SEND1 2 0
704 77162 2 SEND1 2 0
705 77208 2 GET2 5 7
706 77379 2 SEND2 4 1
707 77447 1 GET1 5 7
708 77784 2 GET1 3 7
709 77815 1 SEND1 1 1
710 77832 2 SEND1 1 1
711 78028 2 GET2 5 7
712 78315 2 SEND2 4 1
713 78330 1 GET1 3 7
714 78506 2 GET1 5 7
715 78776 1 SEND1 1 1
716 78816 1 GET3 4 6
717 78928 1 SEND3 6 0
718 79166 1 GET1 3 7
719 79188 2 SEND1 2 0
720 79326 2 GET1 4 6
721 79338 1 SEND1 1 1
722 79682 1 GET2 3 7
723 79712 2 SEND1 1 1
724 79839 1 SEND2 3 0
725 79936 2 GET1 3 7
726 80050 1 GET1 3 7
727 80082 1 SEND1 1 1
728 80108 2 SEND1 1 1
729 80248 2 GET1 4 6
730 80262 1 GET3 4 6
731 80488 2 SEND1 0 0
732 80648 2 GET1 3 7
733 80678 2 SEND1 1 1
734 80754 2 GET1 3 7
735 80862 2 SEND1 1 1
736 80878 2 GET2 4 6
737 81074 1 SEND3 6 0
738 81391 2 SEND2 4 1
739 81438 1 GET1 5 7
740 81558 2 GET2 3 7
741 81593 2 SEND2 4 1
742 81634 1 SEND1 1 1
743 81704 1 GET1 5 7
744 81868 2 GET1 3 7
745 81986 2 SEND1 1 1
746 82022 2 GET1 3 7
747 82118 1 SEND1 1 1
748 82170 1 GET1 3 7
749 82378 1 SEND1 1 1
750 82520 2 SEND1 1 1
751 82704 1 GET1 4 6
752 82765 2 GET2 3 7
753 82944 2 SEND2 4 1
754 83087 2 GET1 3 7
755 83139 2 SEND1 1 1
756 83180 1 SEND1 1 1
757 83210 1 GET1 3 7
758 83246 1 SEND1 1 1
759 83315 1 GET1 3 7
760 83419 1 SEND1 1 1
761 83460 2 GET1 3 7
762 84239 1 GET1 3 7
763 84268 2 SEND1 2 0
764 84269 1 SEND1 1 1
765 84283 1 GET1 4 6
766 84450 2 GET1 3 7
767 84457 1 SEND1 1 1
768 84568 2 SEND1 0 0
769 84677 1 GET1 5 7
770 84705 1 SEND1 2 0
771 84778 2 GET1 3 7
772 84920 2 SEND1 2 0
773 84947 1 GET1 3 7
774 85004 2 GET1 3 7
775 85090 2 SEND1 2 0
776 85364 2 GET2 3 7
777 85479 2 SEND2 4 1
778 85696 2 GET1 4 6
779 85997 1 SEND1 1 1
780 86021 1 GET1 4 6
781 86123 1 SEND1 1 1
782 86149 1 GET1 3 7
783 86306 2 SEND1 1 1
784 86390 1 SEND1 2 0
785 86454 1 GET1 5 7
786 86490 2 GET1 3 7
787 86534 1 SEND1 1 1
788 86576 1 GET1 3 7
789 86632 1 SEND1 1 1
790 86660 2 SEND1 1 1
791 86872 2 GET1 3 7
792 86884 2 SEND1 1 1
793 86988 2 GET1 3 7
794 87034 1 GET1 3 7
795 87340 2 SEND1 1 1
796 87444 1 SEND1 1 1
797 87484 2 GET1 4 6
798 87594 2 SEND1 1 1
799 87668 2 GET1 3 7
800 87698 1 GET1 3 7
801 87734 1 SEND1 1 1
802 87914 1 GET1 3 7
803 88038 2 SEND1 1 1
804 88072 1 SEND1 2 0
805 88168 1 GET2 3 7
806 88193 1 SEND2 4 1
807 88360 1 GET1 3 7
808 88414 2 GET1 3 7
809 88536 2 SEND1 1 1
810 88664 2 GET1 4 6
811 88802 2 SEND1 2 0
812 88880 2 GET1 3 7
813 88920 1 SEND1 1 1
814 88930 2 SEND1 1 1
815 89000 2 GET1 5 7
816 89022 1 GET1 3 7
817 89106 2 SEND1 2 0
818 89120 1 SEND1 2 0
819 89156 1 GET2 3 7
820 89332 2 GET2 3 7
821 89443 1 SEND2 4 1
822 89541 2 SEND2 3 0
823 89770 2 GET1 3 7
824 89868 1 GET1 3 7
825 89924 1 SEND1 1 1
826 90046 2 SEND1 2 0
827 90060 1 GET1 5 7
828 90248 1 SEND1 1 1
829 90379 2 GET1 3 7
830 90433 2 SEND1 0 0
831 90483 2 GET1 3 7
832 90569 2 SEND1 1 1
833 90698 1 GET1 5 7
834 91136 1 SEND1 2 0
835 91238 1 GET1 5 7
836 91398 1 SEND1 0 0
837 91596 1 GET1 3 7
838 91680 1 SEND1 1 1
839 91839 1 GET3 3 7
840 91871 2 GET2 3 7
841 91946 2 SEND2 3 0
842 92129 1 SEND3 6 0
843 92219 1 GET1 4 6
844 92377 1 SEND1 0 0
845 92463 2 GET2 3 7
846 92521 1 GET1 5 7
847 92544 2 SEND2 4 1
848 92927 1 SEND1 1 1
849 92987 2 GET1 5 7
850 93297 1 GET1 5 7
851 93391 1 SEND1 2 0
852 93765 2 SEND1 1 1
853 93949 2 GET1 4 6
854 93977 2 SEND1 1 1
855 94029 2 GET1 3 7
856 94161 1 GET1 3 7
857 94199 2 SEND1 2 0
858 94219 2 GET1 3 7
859 94401 1 SEND1 1 1
860 94475 2 SEND1 1 1
861 94549 2 GET1 3 7
862 94611 1 GET1 3 7
863 94623 2 SEND1 1 1
864 94803 2 GET2 3 7
865 94834 2 SEND2 4 1
866 94875 1 SEND1 2 0
867 94881 2 GET1 5 7
868 95035 2 SEND1 1 1
869 95087 2 GET1 3 7
870 95109 1 GET1 3 7
871 95231 1 SEND1 2 0
872 95243 2 SEND1 1 1
873 95349 1 GET2 5 7
874 95381 2 GET1 4 6
875 95523 2 SEND1 1 1
876 95535 2 GET1 3 7
877 95616 1 SEND2 3 0
878 95917 1 GET1 3 7
879 96039 2 SEND1 1 1
880 96187 2 GET1 4 6
881 96201 1 SEND1 2 0
882 96267 1 GET1 5 7
883 96429 1 SEND1 1 1
884 96461 1 GET1 3 7
885 96593 1 SEND1 1 1
886 96863 1 GET3 3 7
887 96873 2 SEND1 2 0
888 96921 1 SEND3 7 1
889 96955 2 GET1 3 7
890 97219 2 SEND1 2 0
891 97517 2 GET1 3 7
892 97521 1 GET1 5 7
893 97547 2 SEND1 0 0
894 97635 1 SEND1 1 1
895 97675 2 GET1 5 7
896 97695 1 GET1 3 7
897 97827 2 SEND1 0 0
898 97863 2 GET1 3 7
899 97919 2 SEND1 2 0
